STOCK	VALUE	DAY	TIME
ILC	826	4	1249	
ILC	666	5	976	
ILC	757	1	1505	
ILC	502	14	1372	
ILC	959	6	1685	
ILC	655	7	1070	
ILC	335	12	1406	
ILC	788	9	1498	
ILC	908	8	1310	
ILC	577	2	1676	
ILC	972	14	1696	
ILC	439	11	1441	
ILC	997	13	1071	
ILC	146	12	1238	
ILC	813	4	1433	
ILC	385	3	1294	
ILC	592	1	1307	
ILC	687	14	1643	
ILC	76	8	1658	
ILC	509	9	1279	
ILC	456	13	1098	
ILC	194	7	1131	
ILC	60	14	1612	
ILC	549	14	1516	
ILC	41	14	1521	
ILC	136	11	1575	
ILC	164	11	1597	
ILC	922	9	1403	
ILC	759	8	992	
ILC	292	9	1211	
ILC	369	6	982	
ILC	98	6	1545	
ILC	864	11	1558	
ILC	425	7	1445	
ILC	282	3	1334	
ILC	113	7	1057	
ILC	293	6	1058	
ILC	156	1	1045	
ILC	770	12	967	
ILC	483	3	1053	
ILC	152	4	1583	
ILC	466	12	1165	
ILC	585	9	1699	
ILC	223	8	1168	
ILC	526	3	1572	
ILC	307	1	1105	
ILC	949	14	1670	
ILC	485	1	1639	
ILC	598	2	955	
ILC	366	11	966	
ILC	734	6	1402	
ILC	158	13	1661	
ILC	831	10	1327	
ILC	95	10	1082	
ILC	652	8	1511	
ILC	109	7	1048	
ILC	753	14	1260	
ILC	33	10	1275	
ILC	587	3	1414	
ILC	894	14	1272	
ILC	527	8	1132	
ILC	572	2	1046	
ILC	846	4	1162	
ILC	775	9	1339	
ILC	221	7	1474	
ILC	184	12	1050	
ILC	776	4	1116	
ILC	291	11	1333	
ILC	601	6	1048	
ILC	197	12	1066	
ILC	122	5	1664	
ILC	685	9	1487	
ILC	914	13	1390	
ILC	831	5	1524	
ILC	660	6	1358	
ILC	924	5	1533	
ILC	651	13	1608	
ILC	788	1	933	
ILC	258	13	989	
ILC	940	5	1030	
ILC	638	1	1244	
ILC	85	5	1334	
ILC	158	1	1413	
ILC	686	13	1413	
ILC	766	6	1181	
ILC	486	12	1450	
ILC	953	13	951	
ILC	923	3	936	
ILC	864	5	981	
ILC	645	8	1417	
ILC	597	10	1503	
ILC	249	2	1137	
ILC	171	1	1510	
ILC	927	6	1618	
ILC	295	13	1565	
ILC	212	10	1582	
ILC	581	13	1485	
ILC	178	4	995	
ILC	294	9	1133	
ILC	249	4	1399	
ILC	239	13	1160	
ILC	823	12	1149	
ILC	967	9	1458	
ILC	304	14	1625	
ILC	665	2	1010	
ILC	709	5	1275	
ILC	362	11	1171	
ILC	711	4	1224	
ILC	825	14	1588	
ILC	681	5	936	
ILC	656	11	1524	
ILC	950	3	1358	
ILC	86	12	1146	
ILC	220	6	1220	
ILC	39	1	1444	
ILC	27	9	1299	
ILC	669	5	1459	
ILC	639	6	1326	
ILC	577	6	1525	
ILC	347	5	1641	
ILC	594	11	1391	
ILC	634	1	1500	
ILC	434	8	1253	
ILC	164	14	1536	
ILC	470	8	1495	
ILC	646	4	1149	
ILC	624	8	1300	
ILC	984	3	965	
ILC	622	5	1131	
ILC	832	12	1232	
ILC	863	7	1118	
ILC	673	4	1173	
ILC	802	14	1614	
ILC	218	1	1279	
ILC	662	3	1318	
ILC	361	7	1659	
ILC	25	14	1261	
ILC	171	6	1134	
ILC	791	12	1572	
ILC	430	3	1381	
ILC	486	11	1031	
ILC	896	2	1270	
ILC	330	5	1138	
ILC	591	3	1004	
ILC	898	14	1157	
ILC	573	10	1493	
ILC	79	10	995	
ILC	366	5	1112	
ILC	791	11	1472	
ILC	650	7	1280	
ILC	10	10	1249	
ILC	462	14	1372	
ILC	642	4	1299	
ILC	702	1	1504	
ILC	526	5	1053	
ILC	300	6	1587	
ILC	390	7	1013	
ILC	420	14	1395	
ILC	93	1	1228	
ILC	749	9	1636	
ILC	221	9	1228	
ILC	372	4	1267	
ILC	594	13	1378	
ILC	969	4	1171	
ILC	154	2	1452	
ILC	90	13	1069	
ILC	575	12	1520	
ILC	917	10	1132	
ILC	723	13	1343	
ILC	784	2	1561	
ILC	967	8	1619	
ILC	42	10	1313	
ILC	339	9	1289	
ILC	190	9	1137	
ILC	903	10	1549	
ILC	97	1	1516	
ILC	344	12	1602	
ILC	722	12	1405	
ILC	316	4	1108	
ILC	198	12	1101	
ILC	455	11	1420	
ILC	97	14	1463	
ILC	865	4	1672	
ILC	122	11	1180	
ILC	287	9	1027	
ILC	604	10	1023	
ILC	374	9	1520	
ILC	423	7	1214	
ILC	735	4	1492	
ILC	839	14	1266	
ILC	765	1	1240	
ILC	454	13	944	
ILC	713	1	1017	
ILC	699	13	1605	
ILC	819	12	1094	
ILC	508	9	1547	
ILC	291	4	1411	
ILC	743	4	962	
ILC	782	8	1173	
ILC	568	9	1535	
ILC	166	9	1292	
ILC	698	9	1284	
ILC	770	9	1277	
ILC	876	13	1478	
ILC	767	14	1630	
ILC	502	8	1581	
ILC	460	9	1452	
ILC	982	12	993	
ILC	512	14	1601	
ILC	644	6	1296	
ILC	15	7	1171	
ILC	796	3	946	
ILC	369	5	1308	
ILC	315	2	1458	
ILC	756	5	1029	
ILC	136	3	1040	
ILC	619	8	1433	
ILC	736	12	1562	
ILC	472	5	940	
ILC	999	4	1518	
ILC	439	4	1008	
ILC	991	5	1108	
ILC	394	5	1215	
ILC	76	3	1568	
ILC	456	13	998	
ILC	635	12	1047	
ILC	839	11	1258	
ILC	359	8	1494	
ILC	936	10	1322	
ILC	73	6	984	
ILC	335	4	1087	
ILC	607	10	1375	
ILC	588	5	1583	
ILC	47	8	1440	
ILC	579	3	1344	
ILC	950	13	1375	
ILC	383	5	1568	
ILC	55	11	1055	
ILC	665	14	1137	
ILC	728	14	1399	
ILC	604	12	1439	
ILC	309	2	1496	
ILC	356	13	1122	
ILC	832	6	1465	
ILC	616	12	1664	
ILC	900	6	1200	
ILC	819	2	1421	
ILC	429	10	975	
ILC	747	7	1112	
ILC	964	2	1377	
ILC	518	10	1436	
ILC	127	1	1518	
ILC	220	5	1336	
ILC	472	2	1175	
ILC	677	3	1057	
ILC	12	7	1667	
ILC	390	11	1117	
ILC	371	10	1275	
ILC	313	13	1167	
ILC	872	12	1031	
ILC	839	11	1379	
ILC	830	11	1294	
ILC	889	9	1221	
ILC	605	7	1347	
ILC	305	13	1109	
ILC	5	14	1376	
ILC	218	7	1520	
ILC	482	10	1095	
ILC	416	5	1462	
ILC	839	4	975	
ILC	761	6	1491	
ILC	506	5	1361	
ILC	661	6	1152	
ILC	22	3	1055	
ILC	418	1	1141	
ILC	467	10	1524	
ILC	506	6	1554	
ILC	635	6	1104	
ILC	720	3	1140	
ILC	510	1	1075	
ILC	967	5	1660	
ILC	48	4	940	
ILC	596	14	1195	
ILC	395	12	1594	
ILC	71	9	1613	
ILC	582	10	1379	
ILC	97	1	1011	
ILC	566	9	1618	
ILC	80	1	1539	
ILC	387	1	1478	
ILC	923	4	1070	
ILC	684	5	1383	
ILC	779	1	1544	
ILC	536	12	1076	
ILC	840	2	1014	
ILC	436	13	1071	
ILC	326	14	1693	
ILC	446	11	1464	
ILC	280	11	1015	
ILC	678	5	1335	
ILC	482	5	1698	
ILC	451	6	1279	
ILC	809	9	1279	
ILC	220	5	1150	
ILC	701	12	1170	
ILC	392	10	1083	
ILC	475	10	1180	
ILC	177	1	1467	
ILC	130	4	1501	
ILC	337	3	1492	
ILC	464	14	1584	
ILC	40	11	1272	
ILC	549	10	1184	
ILC	588	8	1120	
ILC	271	4	1126	
ILC	948	4	1580	
ILC	358	3	1695	
ILC	158	13	1553	
ILC	352	3	1072	
ILC	301	14	1012	
ILC	827	14	1153	
ILC	138	8	1017	
ILC	353	14	1675	
ILC	251	1	966	
ILC	86	7	1649	
ILC	699	7	1196	
ILC	806	11	1126	
ILC	172	5	1129	
ILC	240	12	1424	
ILC	9	12	1024	
ILC	876	9	942	
ILC	604	6	1641	
ILC	82	10	1618	
ILC	117	13	1070	
ILC	210	5	988	
ILC	782	11	1145	
ILC	661	9	1694	
ILC	604	10	1346	
ILC	225	11	1560	
ILC	651	1	1520	
ILC	222	10	1017	
ILC	119	8	1009	
ILC	380	3	1069	
ILC	273	6	1451	
ILC	668	6	958	
ILC	554	6	1477	
ILC	316	9	1348	
ILC	874	2	1642	
ILC	543	12	1289	
ILC	237	13	1505	
ILC	692	13	986	
ILC	737	14	1342	
ILC	228	9	1425	
ILC	236	7	1058	
ILC	12	10	1200	
ILC	639	8	1182	
ILC	538	9	1423	
ILC	232	6	1196	
ILC	610	4	1624	
ILC	913	11	1660	
ILC	868	10	933	
ILC	70	10	1613	
ILC	840	14	1483	
ILC	261	3	1233	
ILC	447	6	1154	
ILC	329	8	1456	
ILC	405	7	1585	
ILC	619	10	1687	
ILC	13	10	1409	
ILC	809	4	1532	
ILC	661	4	1260	
ILC	788	5	1296	
ILC	311	14	1407	
ILC	762	8	1428	
ILC	261	1	1415	
ILC	911	13	1243	
ILC	985	7	1145	
ILC	518	5	1389	
ILC	664	6	1297	
ILC	406	7	1230	
ILC	977	8	1296	
ILC	73	14	1551	
ILC	582	2	1020	
ILC	298	4	968	
ILC	892	10	1674	
ILC	96	5	1100	
ILC	110	8	1038	
ILC	627	14	1667	
ILC	161	11	1258	
ILC	478	12	960	
ILC	335	4	1351	
ILC	475	4	1199	
ILC	811	8	1187	
ILC	341	14	1249	
ILC	324	8	1690	
ILC	487	11	1344	
ILC	598	13	1509	
ILC	779	8	1452	
ILC	650	3	1161	
ILC	941	7	1114	
ILC	183	9	1296	
ILC	314	9	1419	
ILC	843	10	1545	
ILC	800	1	1069	
ILC	945	13	1106	
ILC	541	3	1523	
ILC	498	9	1094	
ILC	956	1	1574	
ILC	715	3	1416	
ILC	159	8	1454	
ILC	971	8	1521	
ILC	289	8	1365	
ILC	464	7	1457	
ILC	78	5	1572	
ILC	866	2	1596	
ILC	722	8	1657	
ILC	741	13	1154	
ILC	750	10	1118	
ILC	657	8	1364	
ILC	780	5	985	
ILC	158	11	1551	
ILC	282	12	1172	
ILC	188	13	1041	
ILC	844	6	1567	
ILC	873	2	1528	
ILC	317	11	1534	
ILC	662	8	1532	
ILC	943	8	1180	
ILC	939	12	1304	
ILC	582	12	1366	
ILC	250	10	1084	
ILC	406	13	1593	
ILC	802	3	1224	
ILC	281	1	1364	
ILC	643	6	1532	
ILC	552	2	1440	
ILC	830	2	1528	
ILC	413	2	1191	
ILC	256	14	1377	
ILC	792	11	1034	
ILC	463	11	1302	
ILC	676	11	1538	
ILC	721	14	1406	
ILC	61	1	1585	
ILC	772	13	1026	
ILC	441	13	1469	
ILC	228	3	1483	
ILC	434	13	1140	
ILC	249	6	932	
ILC	328	4	1142	
ILC	451	10	1358	
ILC	215	2	1433	
ILC	180	6	1608	
ILC	972	6	1681	
ILC	718	4	1215	
ILC	10	14	1112	
ILC	880	6	1207	
ILC	276	13	1484	
ILC	574	12	1270	
ILC	716	14	1092	
ILC	3	14	1386	
ILC	964	9	1071	
ILC	444	8	1276	
ILC	963	12	1210	
ILC	802	7	1157	
ILC	603	12	1100	
ILC	356	10	1549	
ILC	172	8	945	
ILC	462	2	937	
ILC	919	6	1657	
ILC	619	12	1519	
ILC	460	6	1046	
ILC	400	8	1150	
ILC	597	2	1386	
ILC	112	14	1021	
ILC	434	1	1074	
ILC	5	3	1313	
ILC	770	5	1675	
ILC	165	6	982	
ILC	436	13	1547	
ILC	911	13	1271	
ILC	761	12	1353	
ILC	199	2	1526	
ILC	404	12	1232	
ILC	505	5	1688	
ILC	503	10	1325	
ILC	842	14	1561	
ILC	686	4	1591	
ILC	747	7	1663	
ILC	161	2	1501	
ILC	800	3	1265	
ILC	949	8	1565	
ILC	291	11	1154	
ILC	269	3	996	
ILC	845	11	1524	
ILC	541	11	958	
ILC	679	14	1626	
ILC	895	13	1373	
ILC	80	2	1601	
ILC	413	8	1699	
ILC	96	3	1626	
ILC	902	14	1199	
ILC	574	4	1306	
ILC	510	4	930	
ILC	744	1	994	
ILC	669	7	1275	
ILC	156	7	1148	
ILC	490	1	1614	
ILC	878	10	1565	
ILC	50	7	1670	
ILC	595	7	1160	
ILC	989	3	1144	
ILC	711	6	1125	
ILC	958	2	1079	
ILC	854	2	1614	
ILC	622	10	1642	
ILC	764	4	1246	
ILC	124	12	1522	
ILC	822	9	1277	
ILC	890	12	942	
ILC	206	8	1238	
ILC	7	12	1114	
ILC	523	3	1357	
ILC	485	2	1574	
ILC	877	9	1526	
ILC	828	7	1495	
ILC	596	4	1203	
ILC	297	12	1652	
ILC	826	14	1593	
ILC	982	11	1230	
ILC	460	7	1029	
ILC	790	8	1372	
ILC	596	10	1454	
ILC	14	2	1652	
ILC	709	2	1652	
ILC	988	8	1213	
ILC	678	13	1603	
ILC	215	7	1034	
ILC	806	1	962	
ILC	613	4	1250	
ILC	839	10	1252	
ILC	82	9	1502	
ILC	891	3	1291	
ILC	135	10	968	
ILC	333	2	1451	
ILC	777	10	1266	
ILC	92	13	1127	
ILC	757	12	1500	
ILC	179	5	1591	
ILC	617	9	976	
ILC	960	7	1207	
ILC	135	6	1206	
ILC	862	2	1622	
ILC	949	11	1181	
ILC	318	7	1611	
ILC	562	10	1654	
ILC	75	9	1572	
ILC	886	10	1172	
ILC	15	4	1177	
ILC	285	5	1327	
ILC	680	7	1456	
ILC	659	3	1664	
ILC	169	13	1623	
ILC	367	5	1086	
ILC	987	4	1081	
ILC	456	11	1408	
ILC	762	7	961	
ILC	303	4	1031	
ILC	293	6	1410	
ILC	818	1	1054	
ILC	650	4	1207	
ILC	907	13	1573	
ILC	391	3	1184	
ILC	710	10	1324	
ILC	999	11	1412	
ILC	591	6	1047	
ILC	699	8	1641	
ILC	697	9	1697	
ILC	779	11	1473	
ILC	685	1	1478	
ILC	190	13	1139	
ILC	533	9	1656	
ILC	568	6	995	
ILC	877	9	1692	
ILC	690	9	1384	
ILC	480	1	1056	
ILC	373	6	1280	
ILC	160	1	1464	
ILC	447	11	1079	
ILC	249	8	1294	
ILC	569	10	1119	
ILC	87	9	1698	
ILC	460	5	1608	
ILC	858	12	1075	
ILC	86	4	1644	
ILC	691	10	1308	
ILC	569	10	1468	
ILC	480	9	1385	
ILC	166	9	1463	
ILC	481	2	1110	
ILC	399	2	1675	
ILC	852	8	974	
ILC	746	6	1494	
ILC	192	10	1029	
ILC	896	1	1663	
ILC	580	1	1570	
ILC	831	14	1170	
ILC	351	6	1022	
ILC	991	11	1277	
ILC	95	13	1089	
ILC	783	9	1624	
ILC	246	12	1086	
ILC	15	12	1437	
ILC	97	2	1657	
ILC	929	3	1586	
ILC	361	9	1679	
ILC	151	3	1596	
ILC	671	3	1534	
ILC	521	11	1411	
ILC	708	6	1526	
ILC	919	11	1009	
ILC	723	4	1285	
ILC	643	6	1117	
ILC	701	7	1182	
ILC	195	6	1007	
ILC	926	3	1155	
ILC	588	8	1538	
ILC	748	2	1003	
ILC	605	5	1696	
ILC	45	10	1223	
ILC	264	2	1152	
ILC	944	12	992	
ILC	376	1	1557	
ILC	303	4	1101	
ILC	200	4	1416	
ILC	836	10	1695	
ILC	355	9	1038	
ILC	307	2	1377	
ILC	760	3	1265	
ILC	426	13	1352	
ILC	679	12	1027	
ILC	741	8	1604	
ILC	139	14	1384	
ILC	322	9	1492	
ILC	389	10	1268	
ILC	986	5	1368	
ILC	756	14	1306	
ILC	287	11	1443	
ILC	249	10	1148	
ILC	881	7	1672	
ILC	892	9	1149	
ILC	201	9	1656	
ILC	966	9	1085	
ILC	832	13	1163	
ILC	781	1	1059	
ILC	444	2	1620	
ILC	746	4	1380	
ILC	277	2	1402	
ILC	502	11	1609	
ILC	307	3	1225	
ILC	175	3	1619	
ILC	368	11	1167	
ILC	550	9	1159	
ILC	97	10	1298	
ILC	29	3	1291	
ILC	546	5	1472	
ILC	204	9	1371	
ILC	355	9	943	
ILC	27	4	1407	
ILC	695	11	940	
ILC	70	10	1655	
ILC	983	13	1492	
ILC	741	11	973	
ILC	637	14	1474	
ILC	274	4	1551	
ILC	478	14	1240	
ILC	954	10	1434	
ILC	739	1	1435	
ILC	558	1	1443	
ILC	378	2	1524	
ILC	362	10	1031	
ILC	838	5	954	
ILC	10	7	1401	
ILC	841	8	1605	
ILC	885	4	1181	
ILC	921	10	1334	
ILC	112	10	1061	
ILC	204	10	1116	
ILC	910	9	1051	
ILC	296	5	1229	
ILC	106	9	1643	
ILC	231	12	976	
ILC	603	6	1308	
ILC	208	1	1026	
ILC	424	4	1571	
ILC	716	1	1147	
ILC	912	13	1684	
ILC	934	2	1618	
ILC	855	5	1580	
ILC	421	12	1278	
ILC	326	3	1025	
ILC	920	3	1698	
ILC	344	5	1246	
ILC	899	5	1556	
ILC	661	1	1013	
ILC	185	10	1009	
ILC	384	3	932	
ILC	496	2	1590	
ILC	696	2	1178	
ILC	543	9	981	
ILC	133	5	1125	
ILC	390	2	943	
ILC	309	12	1379	
ILC	181	7	1062	
ILC	845	1	969	
ILC	908	12	1505	
ILC	8	7	1382	
ILC	818	7	1034	
ILC	700	9	1418	
ILC	562	5	1267	
ILC	981	12	1650	
ILC	501	10	972	
ILC	351	7	1273	
ILC	853	8	1089	
ILC	497	14	1590	
ILC	861	10	1106	
ILC	225	11	1394	
ILC	936	13	1052	
ILC	649	5	1537	
ILC	500	3	1190	
ILC	65	4	1281	
ILC	233	11	1439	
ILC	362	9	1358	
ILC	515	2	1660	
ILC	153	6	1581	
ILC	94	6	1206	
ILC	803	14	1382	
ILC	664	14	1647	
ILC	892	10	967	
ILC	900	13	1284	
ILC	951	7	1261	
ILC	895	6	940	
ILC	404	11	1562	
ILC	223	4	1113	
ILC	533	6	1417	
ILC	180	13	1127	
ILC	508	7	1435	
ILC	807	10	1405	
ILC	332	13	1142	
ILC	783	6	1286	
ILC	440	9	1251	
ILC	566	4	988	
ILC	98	12	1461	
ILC	668	14	1007	
ILC	849	13	1175	
ILC	139	9	1387	
ILC	396	10	1669	
ILC	566	11	1248	
ILC	304	10	1016	
ILC	540	11	1429	
ILC	211	3	1663	
ILC	381	2	1146	
ILC	2	2	1157	
ILC	155	13	1660	
ILC	353	6	1073	
ILC	750	13	1437	
ILC	159	7	1640	
ILC	381	4	1667	
ILC	800	14	1315	
ILC	589	2	1542	
ILC	86	10	1467	
ILC	241	13	1269	
ILC	949	5	1110	
ILC	334	6	1005	
ILC	335	6	1137	
ILC	768	10	1374	
ILC	531	13	1145	
ILC	850	7	1105	
ILC	533	3	1579	
ILC	629	10	1543	
ILC	922	4	1201	
ILC	290	7	1178	
ILC	16	10	1380	
ILC	479	6	950	
ILC	784	12	1506	
ILC	501	9	1134	
ILC	330	5	1214	
ILC	821	8	1563	
ILC	106	2	1111	
ILC	923	5	1484	
ILC	814	3	1025	
ILC	988	6	1235	
ILC	264	1	1562	
ILC	642	3	996	
ILC	995	10	1037	
ILC	677	12	1060	
ILC	156	4	953	
ILC	591	6	1426	
ILC	363	9	1060	
ILC	271	6	1008	
ILC	342	14	1266	
ILC	661	9	1599	
ILC	468	7	1578	
ILC	430	7	1534	
ILC	600	1	1695	
ILC	32	10	1346	
ILC	492	12	1083	
ILC	512	7	1122	
ILC	941	12	1020	
ILC	750	2	1579	
ILC	131	8	949	
ILC	722	8	1247	
ILC	254	6	1333	
ILC	740	10	1354	
ILC	660	10	1633	
ILC	236	3	1056	
ILC	966	11	1669	
ILC	184	10	1600	
ILC	707	5	1328	
ILC	81	11	1188	
ILC	227	14	1115	
ILC	399	6	1356	
ILC	865	13	1296	
ILC	328	11	1251	
ILC	428	13	1137	
ILC	879	2	1212	
ILC	359	14	1606	
ILC	740	10	955	
ILC	334	8	1295	
ILC	502	12	1368	
ILC	514	4	1405	
ILC	432	5	1589	
ILC	916	12	1202	
ILC	434	12	1510	
ILC	415	11	1263	
ILC	896	8	1074	
ILC	911	10	1511	
ILC	232	13	1339	
ILC	807	10	1522	
ILC	579	10	1379	
ILC	18	14	1093	
ILC	532	11	1455	
ILC	565	12	1241	
ILC	807	4	1007	
ILC	562	8	1329	
ILC	644	5	1218	
ILC	291	9	1105	
ILC	467	14	1111	
ILC	75	4	1136	
ILC	103	8	1579	
ILC	350	7	1157	
ILC	42	14	1129	
ILC	297	7	1001	
ILC	978	8	1289	
ILC	135	13	1546	
ILC	472	6	1513	
ILC	309	1	1167	
ILC	2	6	1489	
ILC	573	4	1582	
ILC	513	14	1347	
ILC	323	5	1069	
ILC	517	6	1527	
ILC	963	10	1071	
ILC	861	9	1361	
ILC	80	4	1122	
ILC	597	3	1001	
ILC	746	12	1599	
ILC	719	9	1187	
ILC	904	6	1561	
ILC	671	12	1005	
ILC	753	9	1192	
ILC	170	6	1365	
ILC	451	2	1279	
ILC	881	3	1548	
ILC	268	12	1479	
ILC	891	8	1624	
ILC	115	8	1349	
ILC	228	3	1134	
ILC	697	8	1159	
ILC	317	10	1014	
ILC	906	13	1196	
ILC	99	9	1617	
ILC	652	11	1403	
ILC	301	8	1699	
ILC	25	10	1172	
ILC	237	11	1210	
ILC	567	6	1310	
ILC	605	3	1559	
ILC	788	11	1126	
ILC	972	3	969	
ILC	108	3	1353	
ILC	236	1	1028	
ILC	154	2	1514	
ILC	263	11	1260	
ILC	143	10	1002	
ILC	872	1	932	
ILC	50	13	1120	
ILC	420	13	1001	
ILC	420	12	1450	
ILC	674	11	1557	
ILC	135	8	933	
ILC	709	11	1227	
ILC	132	11	1487	
ILC	7	5	1292	
ILC	498	14	1412	
ILC	591	14	1626	
ILC	178	14	1394	
ILC	809	7	1600	
ILC	715	8	1060	
ILC	872	8	1697	
ILC	316	4	1284	
ILC	672	5	1627	
ILC	319	6	1256	
ILC	628	3	1414	
ILC	618	13	1481	
ILC	313	5	1082	
ILC	950	13	963	
ILC	534	1	1190	
ILC	949	11	1623	
ILC	986	2	1536	
ILC	335	11	1273	
ILC	821	1	1256	
ILC	681	10	1431	
ILC	786	1	995	
ILC	399	7	1352	
ILC	99	10	1653	
ILC	757	8	1433	
ILC	426	11	1653	
ILC	241	3	996	
ILC	904	11	1523	
ILC	91	13	1085	
ILC	371	4	1225	
ILC	455	8	1622	
ILC	754	6	1293	
ILC	432	13	1674	
ILC	548	2	937	
ILC	131	11	1471	
ILC	638	10	1429	
ILC	317	5	1481	
ILC	601	13	1141	
ILC	644	5	1174	
ILC	916	4	1470	
ILC	654	6	1033	
ILC	893	12	1112	
ILC	980	10	1421	
ILC	253	10	1275	
ILC	585	4	1444	
ILC	84	11	1495	
ILC	844	6	1688	
ILC	973	11	1330	
ILC	300	12	1644	
ILC	33	3	1271	
ILC	556	9	1622	
ILC	707	14	1192	
ILC	552	12	1587	
ILC	926	11	1688	
ILC	648	6	1450	
ILC	474	14	1678	
ILC	548	3	1253	
ILC	830	5	1162	
ILC	505	13	1229	
ILC	664	11	1143	
ILC	834	3	1201	
ILC	33	7	1172	
ILC	731	4	954	
ILC	81	3	1139	
ILC	347	5	1422	
ILC	941	5	1268	
ILC	939	12	1482	
ILC	377	13	1692	
ILC	853	7	1491	
ILC	733	10	1277	
ILC	213	11	1588	
ILC	102	14	1141	
ILC	856	4	1038	
ILC	613	12	1620	
ILC	188	10	1224	
ILC	320	12	1288	
ILC	657	12	1453	
ILC	200	4	1395	
ILC	202	10	1210	
ILC	962	10	1145	
ILC	952	7	1542	
ILC	8	7	1553	
ILC	555	6	1594	
ILC	145	3	1398	
ILC	423	5	1107	
ILC	756	5	1241	
ILC	900	13	1159	
ILC	121	3	1186	
ILC	967	6	1400	
ILC	226	4	1636	
ILC	279	9	1336	
ILC	679	3	1075	
ILC	742	9	944	
ILC	635	1	1271	
ILC	720	7	1494	
ILC	63	1	1337	
ILC	886	4	1289	
ILC	286	7	1132	
ILC	200	11	1011	
ILC	920	6	1639	
ILC	179	10	1519	
ILC	189	8	1614	
ILC	769	13	1516	
ILC	496	12	1334	
ILC	263	3	1606	
ILC	976	7	1390	
ILC	956	8	1045	
ILC	298	1	1094	
ILC	199	6	1385	
ILC	581	1	1275	
ILC	407	11	1435	
ILC	347	12	1556	
ILC	128	8	1643	
ILC	584	4	1590	
ILC	299	2	1248	
ILC	975	4	1563	
ILC	809	3	1460	
ILC	698	4	1167	
ILC	46	1	940	
ILC	537	8	1251	
ILC	116	1	1568	
ILC	622	2	1529	
ILC	893	11	1278	
ILC	950	10	1134	
ILC	867	13	1286	
ILC	643	9	1680	
ILC	61	10	1184	
ILC	6	8	1697	
ILC	481	5	1414	
ILC	687	2	1188	
ILC	544	1	958	
ILC	667	7	1466	
ILC	246	4	1085	
ILC	767	14	1475	
ILC	445	6	1501	
ILC	823	12	1687	
ILC	878	5	1408	
ILC	6	5	1399	
ILC	500	14	1054	
ILC	281	9	980	
ILC	647	13	1674	
ILC	725	14	1332	
ILC	860	2	1349	
ILC	182	1	1670	
ILC	708	14	1415	
ILC	740	12	1054	
ILC	970	11	1373	
ILC	208	13	1209	
ILC	870	7	1103	
ILC	721	3	1533	
ILC	297	10	964	
ILC	432	10	1424	
ILC	748	4	1354	
ILC	857	4	1253	
ILC	429	14	1173	
ILC	329	10	1157	
ILC	201	6	1185	
ILC	542	1	1360	
ILC	359	12	1364	
ILC	850	4	1530	
ILC	983	3	1498	
ILC	739	9	1450	
ILC	505	14	1302	
ILC	244	2	1059	
ILC	722	3	951	
ILC	105	6	1246	
ILC	495	10	1465	
ILC	208	13	1316	
ILC	250	7	1118	
ILC	401	7	1298	
ILC	99	5	1289	
ILC	552	12	1065	
ILC	924	12	1181	
ILC	357	6	1286	
ILC	468	7	1655	
ILC	248	14	1080	
ILC	872	8	1531	
ILC	312	9	989	
ILC	775	4	1576	
ILC	849	10	1156	
ILC	975	12	1102	
ILC	730	5	1600	
ILC	983	14	1606	
ILC	46	14	1542	
ILC	931	4	963	
ILC	630	1	1033	
ILC	909	12	1514	
ILC	967	11	1587	
ILC	67	12	1065	
ILC	284	12	1304	
ILC	469	14	1211	
ILC	605	2	1659	
ILC	869	13	1628	
ILC	47	3	1642	
ILC	817	11	1061	
ILC	905	2	1446	
ILC	133	5	1106	
ILC	275	1	1042	
ILC	978	1	1176	
ILC	210	8	1694	
ILC	933	4	1578	
ILC	402	3	1033	
ILC	450	4	1270	
ILC	439	2	1000	
ILC	445	1	1198	
ILC	216	4	1352	
ILC	1	2	1461	
ILC	107	10	1508	
ILC	129	9	1553	
ILC	560	1	1624	
ILC	530	9	1176	
ILC	453	13	1607	
ILC	775	3	1127	
ILC	45	5	1180	
ILC	461	4	1144	
ILC	237	6	1052	
ILC	722	6	1158	
ILC	824	5	1276	
ILC	231	9	1295	
ILC	8	3	1349	
ILC	876	11	1194	
ILC	305	3	1112	
ILC	899	6	1062	
ILC	966	7	1123	
ILC	832	6	1238	
ILC	34	8	1538	
ILC	194	2	1152	
ILC	8	4	1644	
ILC	905	13	1119	
ILC	866	14	1517	
ILC	100	11	1139	
ILC	257	7	1555	
ILC	740	8	1482	
ILC	717	12	1411	
ILC	347	7	1413	
ILC	74	5	1138	
ILC	393	11	1008	
ILC	463	10	936	
ILC	670	8	1348	
ILC	862	13	1633	
ILC	37	12	1561	
ILC	722	9	1380	
ILC	373	3	1300	
ILC	763	7	1214	
ILC	94	12	1060	
ILC	106	5	1669	
ILC	755	1	1157	
ILC	201	9	1293	
ILC	267	1	1035	
ILC	465	13	1670	
ILC	242	14	1459	
ILC	471	2	1437	
ILC	740	2	1167	
ILC	386	8	935	
ILC	93	12	932	
ILC	692	14	1620	
ILC	936	9	1448	
ILC	19	13	1409	
ILC	664	10	1447	
ILC	498	4	1285	
ILC	104	14	1511	
ILC	863	12	946	
ILC	471	13	1602	
ILC	666	12	1409	
ILC	885	3	1616	
ILC	193	4	1016	
ILC	944	6	1659	
ILC	251	6	1163	
ILC	293	7	1072	
ILC	741	4	1036	
